,word,rating
0,Why,1.0
1,do,1.0
2,I,1.0
3,want,1.0
4,to,1.0
5,write,1.0
6,the,1.0
7,234th,1.0
8,comment,1.0
9,on,1.0
10,The,1.0
11,Shawshank,1.0
12,Redemption?,1.0
13,I,1.0
14,am,1.0
15,not,1.0
16,sure,1.0
17,-,1.0
18,almost,1.0
19,everything,1.0
20,that,1.0
21,could,1.0
22,be,1.0
23,possibly,1.0
24,said,1.0
25,about,1.0
26,it,1.0
27,has,1.0
28,been,1.0
29,said.,1.0
30,But,1.0
31,like,1.0
32,so,1.0
33,many,1.0
34,other,1.0
35,people,1.0
36,who,1.0
37,wrote,1.0
38,"comments,",1.0
39,I,1.0
40,was,1.0
41,and,1.0
42,am,1.0
43,profoundly,1.0
44,moved,1.0
45,by,1.0
46,this,1.0
47,simple,1.0
48,and,1.0
49,eloquent,1.0
50,depiction,1.0
51,of,1.0
52,hope,1.0
53,and,1.0
54,friendship,1.0
55,and,1.0
56,redemption.,1.0
57,The,1.0
58,only,1.0
59,other,1.0
60,movie,1.0
61,I,1.0
62,have,1.0
63,ever,1.0
64,seen,1.0
65,that,1.0
66,effects,1.0
67,me,1.0
68,as,1.0
69,strongly,1.0
70,is,1.0
71,To,1.0
72,Kill,1.0
73,a,1.0
74,Mockingbird.,1.0
75,Both,1.0
76,movies,1.0
77,leave,1.0
78,me,1.0
79,feeling,1.0
80,cleaner,1.0
81,for,1.0
82,having,1.0
83,watched,1.0
84,them.,1.0
85,I,1.0
86,didn't,1.0
87,intend,1.0
88,to,1.0
89,see,1.0
90,this,1.0
91,movie,1.0
92,at,1.0
93,all:,1.0
94,I,1.0
95,do,1.0
96,not,1.0
97,like,1.0
98,prison,1.0
99,movies,1.0
100,and,1.0
101,I,1.0
102,don't,1.0
103,normally,1.0
104,watch,1.0
105,them.,1.0
106,I,1.0
107,work,1.0
108,at,1.0
109,a,1.0
110,branch,1.0
111,library,1.0
112,and,1.0
113,one,1.0
114,day,1.0
115,as,1.0
116,I,1.0
117,was,1.0
118,checking,1.0
119,The,1.0
120,Shawshank,1.0
121,Redemption,1.0
122,out,1.0
123,to,1.0
124,one,1.0
125,of,1.0
126,our,1.0
127,older,1.0
128,"patrons,",1.0
129,she,1.0
130,said,1.0
131,to,1.0
132,"me,",1.0
133,"""Whenever",1.0
134,I,1.0
135,feel,1.0
136,down,1.0
137,or,1.0
138,"depressed,",1.0
139,I,1.0
140,check,1.0
141,out,1.0
142,this,1.0
143,movie,1.0
144,and,1.0
145,watch,1.0
146,it,1.0
147,and,1.0
148,it,1.0
149,always,1.0
150,makes,1.0
151,me,1.0
152,feel,1.0
153,"better.""",1.0
154,At,1.0
155,the,1.0
156,"time,",1.0
157,I,1.0
158,thought,1.0
159,that,1.0
160,was,1.0
161,very,1.0
162,strange.,1.0
163,One,1.0
164,day,1.0
165,there,1.0
166,was,1.0
167,nothing,1.0
168,on,1.0
169,TV,1.0
170,except,1.0
171,things,1.0
172,I,1.0
173,absolutely,1.0
174,would,1.0
175,not,1.0
176,watch,1.0
177,under,1.0
178,any,1.0
179,circumstance,1.0
180,or,1.0
181,things,1.0
182,that,1.0
183,I,1.0
184,had,1.0
185,seen,1.0
186,too,1.0
187,many,1.0
188,times,1.0
189,already.,1.0
190,I,1.0
191,remembered,1.0
192,what,1.0
193,she,1.0
194,"said,",1.0
195,so,1.0
196,I,1.0
197,watched,1.0
198,it.,1.0
199,I,1.0
200,have,1.0
201,watched,1.0
202,it,1.0
203,many,1.0
204,many,1.0
205,times,1.0
206,since,1.0
207,then,1.0
208,and,1.0
209,it,1.0
210,gets,1.0
211,better,1.0
212,with,1.0
213,every,1.0
214,showing.,1.0
215,No,1.0
216,"action,",1.0
217,no,1.0
218,special,1.0
219,effects,1.0
220,-,1.0
221,just,1.0
222,men,1.0
223,in,1.0
224,prison,1.0
225,uniforms,1.0
226,talking,1.0
227,to,1.0
228,each,1.0
229,other.,1.0
230,The,1.0
231,Shawshank,1.0
232,Redemption,1.0
233,and,1.0
234,To,1.0
235,Kill,1.0
236,a,1.0
237,Mockingbird,1.0
238,are,1.0
239,the,1.0
240,best,1.0
241,movies,1.0
242,I,1.0
243,have,1.0
244,ever,1.0
245,seen.,1.0
246,I,1.0
247,do,1.0
248,not,1.0
249,judge,1.0
250,it,1.0
251,by,1.0
252,it's,1.0
253,technical,1.0
254,merits,1.0
255,-,1.0
256,I,1.0
257,don't,1.0
258,really,1.0
259,care,1.0
260,about,1.0
261,that.,1.0
262,I,1.0
263,have,1.0
264,read,1.0
265,that,1.0
266,Citizen,1.0
267,Kane,1.0
268,or,1.0
269,The,1.0
270,Godfather,1.0
271,or,1.0
272,this,1.0
273,or,1.0
274,that,1.0
275,movie,1.0
276,is,1.0
277,the,1.0
278,best,1.0
279,movie,1.0
280,ever,1.0
281,made.,1.0
282,They,1.0
283,may,1.0
284,have,1.0
285,the,1.0
286,best,1.0
287,technique,1.0
288,or,1.0
289,be,1.0
290,the,1.0
291,most,1.0
292,influential,1.0
293,motion,1.0
294,pictures,1.0
295,ever,1.0
296,"made,",1.0
297,but,1.0
298,not,1.0
299,the,1.0
300,best.,1.0
301,The,1.0
302,best,1.0
303,movies,1.0
304,are,1.0
305,ones,1.0
306,that,1.0
307,touch,1.0
308,the,1.0
309,soul.,1.0
310,It,1.0
311,takes,1.0
312,a,1.0
313,movie,1.0
314,like,1.0
315,The,1.0
316,Shawshank,1.0
317,Redemption,1.0
318,to,1.0
319,touch,1.0
320,the,1.0
321,soul.,1.0
322,Rather,1.0
323,than,1.0
324,concentrating,1.0
325,on,1.0
326,everything,1.0
327,that,1.0
328,is,1.0
329,great,1.0
330,about,1.0
331,The,1.0
332,"Godfather,",1.0
333,a,1.0
334,much,1.0
335,easier,1.0
336,way,1.0
337,for,1.0
338,me,1.0
339,to,1.0
340,judge,1.0
341,its,1.0
342,quality,1.0
343,is,1.0
344,on,1.0
345,what,1.0
346,is,1.0
347,bad,1.0
348,about,1.0
349,it.,1.0
350,Almost,1.0
351,every,1.0
352,film,1.0
353,has,1.0
354,something,1.0
355,that,1.0
356,I,1.0
357,don't,1.0
358,like,1.0
359,about,1.0
360,"it,",1.0
361,but,1.0
362,I,1.0
363,can,1.0
364,honestly,1.0
365,say,1.0
366,that,1.0
