City,Quantity,Mean_RV_price,Median_RV_price,URL
New York,6,17831.666666666668,17500.0,http://newyork.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Los Angeles,7,23570.714285714286,12000.0,http://losangeles.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Chicago,21,20530.857142857141,14999.0,http://chicago.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Houston,1,98000.0,98000.0,http://houston.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Philadelphia,6,25782.166666666668,21447.5,http://philadelphia.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Phoenix,8,30049.375,18000.0,http://phoenix.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
San Antonio,2,31000.0,31000.0,http://sanantonio.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
San Diego,6,23500.0,13900.0,http://sandiego.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Dallas,20,29026.200000000001,20840.0,http://dallas.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
San Jose,nan,nan,nan,
Austin,2,31000.0,31000.0,http://austin.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Jacksonville,8,57885.0,78995.0,http://onslow.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
San Francisco,31,41095.0,29900.0,http://sfbay.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Indianapolis,5,22200.0,18200.0,http://indianapolis.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Columbus,9,144199.55555555556,26500.0,http://columbusga.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Fort Worth,20,29026.200000000001,20840.0,http://dallas.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Charlotte,4,45122.5,45997.5,http://charlottesville.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Seattle,24,25943.833333333332,25766.0,http://seattle.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
Denver,11,32229.909090909092,24966.0,http://denver.craigslist.org/search/sss?query=rv+gulfstream&sort=rel&min_price=7000
